working_name,public_name,category
a,a,determinative
a_certain,a_certain,determinative
a_few,a_few,determinative
a_great_many,a_great_many,determinative
a_little,a_little,determinative
all,all,determinative
another,another,determinative
any,any,determinative
anybody,anybody,determinative
anyone,anyone,determinative
anything,anything,determinative
anywhere,anywhere,determinative
both,both,determinative
certain,certain,determinative
each,each,determinative
either,either,determinative
enough,enough,determinative
every,every,determinative
everybody,everybody,determinative
everyone,everyone,determinative
everything,everything,determinative
everywhere,everywhere,determinative
few,few,determinative
fewer,fewer,determinative
fewest,fewest,determinative
little,little,determinative
less,less,determinative
least,least,determinative
many,many,determinative
many_a,many_a,determinative
more,more,determinative
most,most,determinative
much,much,determinative
neither,neither,determinative
last,last,determinative
next,next,determinative
no,no,determinative
none,none,determinative
nobody,nobody,determinative
no_one,no_one,determinative
nothing,nothing,determinative
nowhere,nowhere,determinative
one_det,one_det,determinative
two_det,two_det,determinative
three_det,three_det,determinative
once,once,determinative
twice,twice,determinative
thrice,thrice,determinative
several,several,determinative
some,some,determinative
somebody,somebody,determinative
someone,someone,determinative
something,something,determinative
somewhere,somewhere,determinative
somewhat_424,somewhat,determinative
such_435,such,determinative
sufficient,sufficient,determinative
that,that,determinative
these,these,determinative
this,this,determinative
those,those,determinative
the,the,determinative
us_det,us_det,determinative
we_det,we_det,determinative
you_det,you_det,determinative
what_det,what_det,determinative
whatever_det,whatever_det,determinative
which_rel_det,which_rel_det,determinative
which_int_det,which_int_det,determinative
whichever_rel_det,whichever_rel_det,determinative
whichever_int_det,whichever_int_det,determinative
zero_det,zero_det,determinative
various_det,various_det,determinative
each_other,each_other,pronoun
one_another,one_another,pronoun
he,he,pronoun
him,him,pronoun
himself,himself,pronoun
his,his,pronoun
she,she,pronoun
her_acc,her_acc,pronoun
her_dep,her_dep,pronoun
hers,hers,pronoun
herself,herself,pronoun
it_plain,it_plain,pronoun
it_dum,it_dum,pronoun
its,its,pronoun
itself,itself,pronoun
I,I,pronoun
me,me,pronoun
mine,mine,pronoun
my,my,pronoun
myself,myself,pronoun
one_pron,one_pron,pronoun
one_s,one_s,pronoun
oneself,oneself,pronoun
their_sing,their_sing,pronoun
theirs_sing,theirs_sing,pronoun
their_plur,their_plur,pronoun
theirs_plur,theirs_plur,pronoun
them_sing,them_sing,pronoun
them_plur,them_plur,pronoun
themself,themself,pronoun
themselves,themselves,pronoun
they_sing,they_sing,pronoun
they_plur,they_plur,pronoun
we_pron,we_pron,pronoun
us_pron,us_pron,pronoun
our,our,pronoun
ours,ours,pronoun
ourselves,ourselves,pronoun
what_pron,what_pron,pronoun
whatever_pron,whatever_pron,pronoun
which_rel_pron,which_rel_pron,pronoun
who_int,who_int,pronoun
who_rel,who_rel,pronoun
whom_int,whom_int,pronoun
whom_rel,whom_rel,pronoun
whose_int,whose_int,pronoun
whose_rel,whose_rel,pronoun
whoever,whoever,pronoun
whoever_s,whoever_s,pronoun
whosever,whosever,pronoun
whosoever,whosoever,pronoun
whosoever_s,whosoever_s,pronoun
you_pron_sing,you_pron_sing,pronoun
you_pron_plur,you_pron_plur,pronoun
your_sing,your_sing,pronoun
yours_sing,yours_sing,pronoun
your_plur,your_plur,pronoun
yours_plur,yours_plur,pronoun
yourself,yourself,pronoun
yourselves,yourselves,pronoun
today,today,pronoun
tomorrow,tomorrow,pronoun
tonight,tonight,pronoun
yesterday,yesterday,pronoun
there,there,pronoun
