"spec_id","word","reference","cluster"
"full__equal_features__sqrt_hamming__pam","a",1,1
"full__equal_features__sqrt_hamming__pam","a_certain",1,1
"full__equal_features__sqrt_hamming__pam","a_few",1,1
"full__equal_features__sqrt_hamming__pam","a_great_many",1,1
"full__equal_features__sqrt_hamming__pam","a_little",1,1
"full__equal_features__sqrt_hamming__pam","all",1,1
"full__equal_features__sqrt_hamming__pam","another",1,1
"full__equal_features__sqrt_hamming__pam","any",1,1
"full__equal_features__sqrt_hamming__pam","anybody",1,1
"full__equal_features__sqrt_hamming__pam","anyone",1,1
"full__equal_features__sqrt_hamming__pam","anything",1,1
"full__equal_features__sqrt_hamming__pam","anywhere",1,1
"full__equal_features__sqrt_hamming__pam","both",1,1
"full__equal_features__sqrt_hamming__pam","certain",1,1
"full__equal_features__sqrt_hamming__pam","each",1,1
"full__equal_features__sqrt_hamming__pam","either",1,1
"full__equal_features__sqrt_hamming__pam","enough",1,1
"full__equal_features__sqrt_hamming__pam","every",1,1
"full__equal_features__sqrt_hamming__pam","everybody",1,1
"full__equal_features__sqrt_hamming__pam","everyone",1,1
"full__equal_features__sqrt_hamming__pam","everything",1,1
"full__equal_features__sqrt_hamming__pam","everywhere",1,1
"full__equal_features__sqrt_hamming__pam","few",1,1
"full__equal_features__sqrt_hamming__pam","fewer",1,1
"full__equal_features__sqrt_hamming__pam","fewest",1,1
"full__equal_features__sqrt_hamming__pam","little",1,1
"full__equal_features__sqrt_hamming__pam","less",1,1
"full__equal_features__sqrt_hamming__pam","least",1,1
"full__equal_features__sqrt_hamming__pam","many",1,1
"full__equal_features__sqrt_hamming__pam","many_a",1,1
"full__equal_features__sqrt_hamming__pam","more",1,1
"full__equal_features__sqrt_hamming__pam","most",1,1
"full__equal_features__sqrt_hamming__pam","much",1,1
"full__equal_features__sqrt_hamming__pam","neither",1,1
"full__equal_features__sqrt_hamming__pam","last",1,1
"full__equal_features__sqrt_hamming__pam","next",1,1
"full__equal_features__sqrt_hamming__pam","no",1,1
"full__equal_features__sqrt_hamming__pam","none",1,1
"full__equal_features__sqrt_hamming__pam","nobody",1,1
"full__equal_features__sqrt_hamming__pam","no_one",1,1
"full__equal_features__sqrt_hamming__pam","nothing",1,1
"full__equal_features__sqrt_hamming__pam","nowhere",1,1
"full__equal_features__sqrt_hamming__pam","one_det",1,1
"full__equal_features__sqrt_hamming__pam","two_det",1,1
"full__equal_features__sqrt_hamming__pam","three_det",1,1
"full__equal_features__sqrt_hamming__pam","once",1,1
"full__equal_features__sqrt_hamming__pam","twice",1,1
"full__equal_features__sqrt_hamming__pam","thrice",1,1
"full__equal_features__sqrt_hamming__pam","several",1,1
"full__equal_features__sqrt_hamming__pam","some",1,1
"full__equal_features__sqrt_hamming__pam","somebody",1,1
"full__equal_features__sqrt_hamming__pam","someone",1,1
"full__equal_features__sqrt_hamming__pam","something",1,1
"full__equal_features__sqrt_hamming__pam","somewhere",1,1
"full__equal_features__sqrt_hamming__pam","somewhat",1,1
"full__equal_features__sqrt_hamming__pam","such",1,1
"full__equal_features__sqrt_hamming__pam","sufficient",1,1
"full__equal_features__sqrt_hamming__pam","that",1,1
"full__equal_features__sqrt_hamming__pam","these",1,1
"full__equal_features__sqrt_hamming__pam","this",1,2
"full__equal_features__sqrt_hamming__pam","those",1,1
"full__equal_features__sqrt_hamming__pam","the",1,1
"full__equal_features__sqrt_hamming__pam","us_det",1,1
"full__equal_features__sqrt_hamming__pam","we_det",1,2
"full__equal_features__sqrt_hamming__pam","you_det",1,1
"full__equal_features__sqrt_hamming__pam","what_det",1,1
"full__equal_features__sqrt_hamming__pam","whatever_det",1,1
"full__equal_features__sqrt_hamming__pam","which_rel_det",1,1
"full__equal_features__sqrt_hamming__pam","which_int_det",1,1
"full__equal_features__sqrt_hamming__pam","whichever_rel_det",1,1
"full__equal_features__sqrt_hamming__pam","whichever_int_det",1,1
"full__equal_features__sqrt_hamming__pam","zero_det",1,1
"full__equal_features__sqrt_hamming__pam","various_det",1,1
"full__equal_features__sqrt_hamming__pam","each_other",2,1
"full__equal_features__sqrt_hamming__pam","one_another",2,1
"full__equal_features__sqrt_hamming__pam","he",2,2
"full__equal_features__sqrt_hamming__pam","him",2,2
"full__equal_features__sqrt_hamming__pam","himself",2,2
"full__equal_features__sqrt_hamming__pam","his",2,2
"full__equal_features__sqrt_hamming__pam","she",2,2
