"fit_id","seed","objective","matched","ari","iterations","last_moves","selected"
"full__equal_features__sqrt_hamming__energy",1,28.6432439924226,115,0.440507210932188,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",2,28.4799201591134,132,0.832434356035834,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",3,28.4745546636592,131,0.805989846809123,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",4,28.4745546636593,131,0.805989846809123,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",5,28.4865869314476,128,0.729182352662061,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",6,28.5121972617811,125,0.656186540594849,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",7,28.4737974993598,130,0.77996430590564,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",8,28.4737974993602,130,0.77996430590564,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",9,28.497028532664,121,0.564825417741791,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",10,28.4737974993602,130,0.77996430590564,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",11,28.5009752577732,126,0.680101952432046,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",12,28.4799201591131,132,0.832434356035834,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",13,28.4799201591134,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",14,28.479534267954,126,0.680118905972665,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",15,29.620395926276,90,0.0860873156842851,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",16,28.5121972617811,125,0.656186540594849,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",17,28.4710942877406,125,0.656232090438534,3,0,TRUE
"full__equal_features__sqrt_hamming__energy",18,28.4760468500397,128,0.729193117314019,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",19,28.4737974993601,130,0.77996430590564,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",20,28.5036299396881,127,0.704424255453394,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",21,28.4799201591134,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",22,28.628363719002,109,0.331491360187137,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",23,28.4799201591133,132,0.832434356035834,5,0,FALSE
"full__equal_features__sqrt_hamming__energy",24,28.4759289031117,129,0.754373152541918,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",25,28.4745546636592,131,0.805989846809123,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",26,28.4920393146977,122,0.58703181511815,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",27,28.5121972617809,125,0.656186540594849,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",28,28.4863949914711,128,0.729193117314019,3,0,FALSE
"full__equal_features__sqrt_hamming__energy",29,28.628363719002,109,0.331491360187137,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",30,28.4799201591133,132,0.832434356035834,4,0,FALSE
"full__equal_features__sqrt_hamming__energy",31,28.6484027019184,111,0.366049191366264,6,0,FALSE
"full__equal_features__sqrt_hamming__energy",32,28.5102142339255,125,0.656186540594849,3,0,FALSE
