"feature_set","weight","distance","canonical_weight"
"no_morph","unique_profiles","sqrt_hamming","equal_features"
"no_morph","unique_profiles","hamming","equal_features"
"no_morph","unique_profiles","jaccard","equal_features"
"no_sem","unique_profiles","sqrt_hamming","equal_features"
"no_sem","unique_profiles","hamming","equal_features"
"no_sem","unique_profiles","jaccard","equal_features"
"morph_only","equal_domains","sqrt_hamming","equal_features"
"morph_only","equal_domains","hamming","equal_features"
"morph_only","equal_domains","jaccard","equal_features"
"morph_only","unique_profiles","sqrt_hamming","equal_features"
"morph_only","unique_profiles","hamming","equal_features"
"morph_only","unique_profiles","jaccard","equal_features"
"morph_without_components","equal_domains","sqrt_hamming","equal_features"
"morph_without_components","equal_domains","hamming","equal_features"
"morph_without_components","equal_domains","jaccard","equal_features"
"morph_without_components","unique_profiles","sqrt_hamming","equal_features"
"morph_without_components","unique_profiles","hamming","equal_features"
"morph_without_components","unique_profiles","jaccard","equal_features"
"phon_only","equal_domains","sqrt_hamming","equal_features"
"phon_only","equal_domains","hamming","equal_features"
"phon_only","equal_domains","jaccard","equal_features"
"phon_only","unique_profiles","sqrt_hamming","equal_features"
"phon_only","unique_profiles","hamming","equal_features"
"phon_only","unique_profiles","jaccard","equal_features"
"sem_only","equal_domains","sqrt_hamming","equal_features"
"sem_only","equal_domains","hamming","equal_features"
"sem_only","equal_domains","jaccard","equal_features"
"sem_only","unique_profiles","sqrt_hamming","equal_features"
"sem_only","unique_profiles","hamming","equal_features"
"sem_only","unique_profiles","jaccard","equal_features"
"synt_only","equal_domains","sqrt_hamming","equal_features"
"synt_only","equal_domains","hamming","equal_features"
"synt_only","equal_domains","jaccard","equal_features"
"synt_only","unique_profiles","sqrt_hamming","equal_features"
"synt_only","unique_profiles","hamming","equal_features"
"synt_only","unique_profiles","jaccard","equal_features"
"synt_without_four_labels","equal_domains","sqrt_hamming","equal_features"
"synt_without_four_labels","equal_domains","hamming","equal_features"
"synt_without_four_labels","equal_domains","jaccard","equal_features"
"synt_without_four_labels","unique_profiles","sqrt_hamming","equal_features"
"synt_without_four_labels","unique_profiles","hamming","equal_features"
"synt_without_four_labels","unique_profiles","jaccard","equal_features"
