"feature","block","word_component","explicit_analysis_label","present_count","profile_id"
"a","morph",TRUE,FALSE,8,1
"another","morph",TRUE,FALSE,3,2
"any","morph",TRUE,FALSE,5,3
"body","morph",TRUE,FALSE,4,4
"certain","morph",TRUE,FALSE,2,5
"day","morph",TRUE,FALSE,2,6
"each","morph",TRUE,FALSE,2,7
"each_other","morph",TRUE,FALSE,1,8
"either","morph",TRUE,FALSE,2,9
"ever","morph",TRUE,FALSE,14,10
"every","morph",TRUE,FALSE,5,11
"few","morph",TRUE,FALSE,4,12
"her","morph",TRUE,FALSE,4,13
"him","morph",TRUE,FALSE,2,14
"it","morph",TRUE,FALSE,4,15
"its","morph",TRUE,FALSE,2,16
"little","morph",TRUE,FALSE,2,17
"many","morph",TRUE,FALSE,2,18
"many_a","morph",TRUE,FALSE,2,19
"my","morph",TRUE,FALSE,2,20
"no","morph",TRUE,FALSE,6,21
"no_one","morph",TRUE,FALSE,2,22
"one","morph",TRUE,FALSE,11,23
"one_s","morph",TRUE,FALSE,2,24
"other","morph",TRUE,FALSE,3,25
"our","morph",TRUE,FALSE,3,26
"ours","morph",TRUE,FALSE,2,27
"self","morph",TRUE,FALSE,10,28
"some","morph",TRUE,FALSE,6,29
"their","morph",TRUE,FALSE,4,30
"theirs","morph",TRUE,FALSE,2,31
"them","morph",TRUE,FALSE,4,32
"they","morph",TRUE,FALSE,2,33
"thing","morph",TRUE,FALSE,4,34
"to","morph",TRUE,FALSE,3,35
"us","morph",TRUE,FALSE,2,36
"we","morph",TRUE,FALSE,2,37
"what","morph",TRUE,FALSE,5,38
"whatever","morph",TRUE,FALSE,2,39
"where","morph",TRUE,FALSE,4,40
"which","morph",TRUE,FALSE,5,41
"whichever","morph",TRUE,FALSE,2,42
"who","morph",TRUE,FALSE,11,43
"whoever","morph",TRUE,FALSE,2,44
"whom","morph",TRUE,FALSE,2,45
"whose","morph",TRUE,FALSE,2,46
"whosoever","morph",TRUE,FALSE,2,47
"you","morph",TRUE,FALSE,9,48
"your","morph",TRUE,FALSE,6,49
"yours","morph",TRUE,FALSE,2,50
"genitive_case","morph",FALSE,FALSE,22,51
"accusative_case","morph",FALSE,FALSE,11,52
"nominative_case","morph",FALSE,FALSE,11,53
"in_word_formation_e_g_a_many_sided_shape","morph",FALSE,FALSE,29,54
"has_derivationtionally_related_words","morph",FALSE,FALSE,79,55
"has_corresponding_word","morph",FALSE,FALSE,38,56
"compound_word","morph",FALSE,FALSE,48,57
"inflects_for_case","morph",FALSE,FALSE,75,58
"paradigm_has_distinct_acc_form","morph",FALSE,FALSE,41,59
"paradigm_has_genitive_form","morph",FALSE,FALSE,52,60
"paradigm_has_distinct_independent_genitive_form","morph",FALSE,FALSE,33,61
