"feature_set","scope","feature"
"full","core","a"
"full","core","another"
"full","core","any"
"full","core","body"
"full","core","certain"
"full","core","day"
"full","core","each"
"full","core","each_other"
"full","core","either"
"full","core","ever"
"full","core","every"
"full","core","few"
"full","core","her"
"full","core","him"
"full","core","it"
"full","core","its"
"full","core","little"
"full","core","many"
"full","core","many_a"
"full","core","my"
"full","core","no"
"full","core","no_one"
"full","core","one"
"full","core","one_s"
"full","core","other"
"full","core","our"
"full","core","ours"
"full","core","self"
"full","core","some"
"full","core","their"
"full","core","theirs"
"full","core","them"
"full","core","they"
"full","core","thing"
"full","core","to"
"full","core","us"
"full","core","we"
"full","core","what"
"full","core","whatever"
"full","core","where"
"full","core","which"
"full","core","whichever"
"full","core","who"
"full","core","whoever"
"full","core","whom"
"full","core","whose"
"full","core","whosoever"
"full","core","you"
"full","core","your"
"full","core","yours"
"full","core","genitive_case"
"full","core","accusative_case"
"full","core","nominative_case"
"full","core","in_word_formation_e_g_a_many_sided_shape"
"full","core","has_derivationtionally_related_words"
"full","core","has_corresponding_word"
"full","core","compound_word"
"full","core","inflects_for_case"
"full","core","paradigm_has_distinct_acc_form"
"full","core","paradigm_has_genitive_form"
"full","core","paradigm_has_distinct_independent_genitive_form"
"full","core","paradigm_has_distinct_self_form"
"full","core","paradigm_has_comparative_and_superlative_forms"
"full","core","paradigm_has_distinct_plural_form"
"full","core","does_not_inflect"
"full","core","Monmorphemic"
"full","core","Must_be_stressed_as_object_after_particle"
"full","core","Start_with_th"
"full","core","Start_with_hw"
"full","core","anaphoric_marker"
"full","core","deictic_marker"
"full","core","person_deixis"
"full","core","pro_form"
"full","core","personal_gender_as_head_or_fused_head"
"full","core","non_personal_gender"
"full","core","epicene_personal_gender"
"full","core","masculine_gender"
"full","core","feminine_gender"
"full","core","definite"
"full","core","indefinite"
"full","core","existential"
"full","core","universal"
"full","core","free_choice"
"full","core","negative"
"full","core","interrogative"
"full","core","non_affirmative"
"full","core","reflexive"
"full","core","reciprocal"
"full","core","dual"
"full","core","paucal"
"full","core","multal"
"full","core","proportional"
"full","core","semantically_countable"
"full","core","semantically_uncountable"
"full","core","semantically_singular"
"full","core","semantically_plural"
"full","core","distributive"
"full","core","joint"
"full","core","cardinal"
"full","core","disjunctive"
"full","core","degree"
"full","core","sufficiency"
"full","core","temporal"
"full","core","locative"
"full","core","dummy"
"full","core","can_be_followed_by_adjective_such"
"full","core","can_be_modified_by_almost"
"full","core","can_be_modified_by_approximately"
"full","core","can_be_modified_by_at_least"
"full","core","can_be_modified_by_hardly"
"full","core","can_be_modified_by_not"
"full","core","can_be_modified_by_adverb_very"
"full","core","Coordinates_with_independent_genitives"
"full","core","Coordinates_with_dependent_genitives"
"full","core","Coordinates_with_NPs"
"full","core","intensifying_reduplication"
"full","core","selects_singular_heads"
"full","core","selects_count_singular_heads"
"full","core","selects_non_count_heads"
"full","core","selects_plural_heads"
"full","core","compatible_count_sing_NP"
"full","core","compatible_count_plur_NP"
"full","core","compatible_non_count_NP"
"full","core","Forms_universal_pronouns_before_all"
"full","core","functions_as_a_predeterminer_modifier"
"full","core","functions_as_prehead_modifier_in_nominal"
"full","core","functions_as_degree_modifier_in_AdjP"
"full","core","functions_as_predicative_complement"
"full","core","functions_as_predicative_complement_to_seem"
"full","core","functions_as_marker_of_coordination"
"full","core","functions_as_fused_determiner_head"
"full","core","functions_as_head_of_partitive_construction"
"full","core","functions_as_adjunct_in_clause_structure"
"full","core","functions_as_attrib_modifier_in_nominal"
"full","core","appears_in_subject"
"full","core","appears_in_object"
"full","core","functions_as_post_head_modifier_of_it_or_them"
"full","core","functions_as_post_head_modifier_of_N"
"full","core","appears_in_existentials_there_s_on_the_table"
"full","core","functions_as_determiner_in_day_s_time_ago"
"full","core","functions_as_subject_of_present_participal_of_joining_you"
"full","core","Functions_as_subject_of_interrogative_tag"
