"word","reference","reference_class"
"a",1,"determinative"
"a_certain",1,"determinative"
"a_few",1,"determinative"
"a_great_many",1,"determinative"
"a_little",1,"determinative"
"all",1,"determinative"
"another",1,"determinative"
"any",1,"determinative"
"anybody",1,"determinative"
"anyone",1,"determinative"
"anything",1,"determinative"
"anywhere",1,"determinative"
"both",1,"determinative"
"certain",1,"determinative"
"each",1,"determinative"
"either",1,"determinative"
"enough",1,"determinative"
"every",1,"determinative"
"everybody",1,"determinative"
"everyone",1,"determinative"
"everything",1,"determinative"
"everywhere",1,"determinative"
"few",1,"determinative"
"fewer",1,"determinative"
"fewest",1,"determinative"
"little",1,"determinative"
"less",1,"determinative"
"least",1,"determinative"
"many",1,"determinative"
"many_a",1,"determinative"
"more",1,"determinative"
"most",1,"determinative"
"much",1,"determinative"
"neither",1,"determinative"
"last",1,"determinative"
"next",1,"determinative"
"no",1,"determinative"
"none",1,"determinative"
"nobody",1,"determinative"
"no_one",1,"determinative"
"nothing",1,"determinative"
"nowhere",1,"determinative"
"one_det",1,"determinative"
"two_det",1,"determinative"
"three_det",1,"determinative"
"once",1,"determinative"
"twice",1,"determinative"
"thrice",1,"determinative"
"several",1,"determinative"
"some",1,"determinative"
"somebody",1,"determinative"
"someone",1,"determinative"
"something",1,"determinative"
"somewhere",1,"determinative"
"somewhat",1,"determinative"
"such",1,"determinative"
"sufficient",1,"determinative"
"that",1,"determinative"
"these",1,"determinative"
"this",1,"determinative"
"those",1,"determinative"
"the",1,"determinative"
"us_det",1,"determinative"
"we_det",1,"determinative"
"you_det",1,"determinative"
"what_det",1,"determinative"
"whatever_det",1,"determinative"
"which_rel_det",1,"determinative"
"which_int_det",1,"determinative"
"whichever_rel_det",1,"determinative"
"whichever_int_det",1,"determinative"
"zero_det",1,"determinative"
"various_det",1,"determinative"
"each_other",2,"pronoun"
"one_another",2,"pronoun"
"he",2,"pronoun"
"him",2,"pronoun"
"himself",2,"pronoun"
"his",2,"pronoun"
"she",2,"pronoun"
"her_acc",2,"pronoun"
"her_dep",2,"pronoun"
"hers",2,"pronoun"
"herself",2,"pronoun"
"it_plain",2,"pronoun"
"it_dum",2,"pronoun"
"its",2,"pronoun"
"itself",2,"pronoun"
"I",2,"pronoun"
"me",2,"pronoun"
"mine",2,"pronoun"
"my",2,"pronoun"
"myself",2,"pronoun"
"one_pron",2,"pronoun"
"one_s",2,"pronoun"
"oneself",2,"pronoun"
"their_sing",2,"pronoun"
"theirs_sing",2,"pronoun"
"their_plur",2,"pronoun"
"theirs_plur",2,"pronoun"
"them_sing",2,"pronoun"
"them_plur",2,"pronoun"
"themself",2,"pronoun"
"themselves",2,"pronoun"
"they_sing",2,"pronoun"
"they_plur",2,"pronoun"
"we_pron",2,"pronoun"
"us_pron",2,"pronoun"
"our",2,"pronoun"
"ours",2,"pronoun"
"ourselves",2,"pronoun"
"what_pron",2,"pronoun"
"whatever_pron",2,"pronoun"
"which_rel_pron",2,"pronoun"
"who_int",2,"pronoun"
"who_rel",2,"pronoun"
"whom_int",2,"pronoun"
"whom_rel",2,"pronoun"
"whose_int",2,"pronoun"
"whose_rel",2,"pronoun"
"whoever",2,"pronoun"
"whoever_s",2,"pronoun"
"whosever",2,"pronoun"
"whosoever",2,"pronoun"
"whosoever_s",2,"pronoun"
"you_pron_sing",2,"pronoun"
"you_pron_plur",2,"pronoun"
"your_sing",2,"pronoun"
"yours_sing",2,"pronoun"
"your_plur",2,"pronoun"
"yours_plur",2,"pronoun"
"yourself",2,"pronoun"
"yourselves",2,"pronoun"
"today",2,"pronoun"
"tomorrow",2,"pronoun"
"tonight",2,"pronoun"
"yesterday",2,"pronoun"
"there",2,"pronoun"
