"spec_id","scope","feature_set","weighting","distance","method","k","max_k_examined","silhouette","ari"
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",2,8,0.135999584106831,0.754373152541918
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",3,8,0.102175279583332,0.365702247259001
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",4,8,0.0929254021739053,0.315784047364506
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",5,8,0.114538364792418,0.358413169514679
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",6,8,0.128877064106337,0.254593735496789
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",7,8,0.13506161297945,0.219065812971695
"full__equal_features__sqrt_hamming__pam","core","full","equal_features","sqrt_hamming","pam",8,8,0.151258624717215,0.204159610220446
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",2,8,0.134740302534028,0.942452203083014
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",3,8,0.128598759382518,0.797198064651275
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",4,8,0.146137583961027,0.681893662139864
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",5,8,0.142881090442276,0.458955097683452
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",6,8,0.15799989910856,0.326313145896363
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",7,8,0.163721331334404,0.305452921500489
"full__equal_features__sqrt_hamming__average","core","full","equal_features","sqrt_hamming","average",8,8,0.163268348713757,0.300347613477081
"full__equal_features__hamming__pam","core","full","equal_features","hamming","pam",2,8,0.237965674475469,0.754373152541918
"full__equal_features__hamming__pam","core","full","equal_features","hamming","pam",3,8,0.174626180952607,0.365702247259001
"full__equal_features__hamming__pam","core","full","equal_features","hamming","pam",4,8,0.15557170177611,0.315784047364506
"full__equal_features__hamming__pam","core","full","equal_features","hamming","pam",5,8,0.19033451547547,0.358413169514679
