"word","cluster"
"a",1
"a_certain",1
"a_few",1
"a_great_many",1
"a_little",1
"all",1
"another",1
"any",1
"anybody",1
"anyone",1
"anything",1
"anywhere",1
"both",1
"certain",1
"each",1
"either",1
"enough",1
"every",1
"everybody",1
"everyone",1
"everything",1
"everywhere",1
"few",1
"fewer",1
"fewest",1
"little",1
"less",1
"least",1
"many",1
"many_a",1
"more",1
"most",1
"much",1
"neither",1
"last",1
"next",1
"no",1
"none",1
"nobody",1
"no_one",1
"nothing",1
"nowhere",1
"one_det",1
"two_det",1
"three_det",1
"once",1
"twice",1
"thrice",1
"several",1
"some",1
"somebody",1
"someone",1
"something",1
"somewhere",1
"somewhat",1
"such",1
"sufficient",1
"that",1
"these",1
"this",1
"those",1
"the",1
"us_det",2
"we_det",2
"you_det",1
"what_det",1
"whatever_det",1
"which_rel_det",1
"which_int_det",1
"whichever_rel_det",1
"whichever_int_det",1
"zero_det",1
"various_det",1
"each_other",1
"one_another",1
"he",2
"him",2
"himself",2
"his",2
"she",2
"her_acc",2
"her_dep",2
"hers",2
"herself",2
"it_plain",2
"it_dum",1
"its",2
"itself",2
"I",2
"me",2
"mine",2
"my",2
"myself",2
"one_pron",2
"one_s",2
"oneself",2
"their_sing",2
"theirs_sing",2
"their_plur",2
"theirs_plur",2
"them_sing",2
"them_plur",2
"themself",2
"themselves",2
"they_sing",2
"they_plur",2
"we_pron",2
"us_pron",2
"our",2
"ours",2
"ourselves",2
"what_pron",1
"whatever_pron",1
"which_rel_pron",1
"who_int",2
"who_rel",2
"whom_int",2
"whom_rel",2
"whose_int",2
"whose_rel",2
"whoever",2
"whoever_s",2
"whosever",2
"whosoever",2
"whosoever_s",2
"you_pron_sing",2
"you_pron_plur",2
"your_sing",2
"yours_sing",2
"your_plur",2
"yours_plur",2
"yourself",2
"yourselves",2
"today",1
"tomorrow",1
"tonight",1
"yesterday",1
"there",1
