"word","reference","specifications","excluded_orientation_ties","determinative_aligned_count","pronoun_aligned_count","agreement_count"
"a",1,74,0,74,0,74
"a_certain",1,74,0,74,0,74
"a_few",1,74,0,74,0,74
"a_great_many",1,74,0,74,0,74
"a_little",1,74,0,74,0,74
"all",1,74,0,74,0,74
"another",1,74,0,74,0,74
"any",1,74,0,73,1,73
"anybody",1,74,0,73,1,73
"anyone",1,74,0,73,1,73
"anything",1,74,0,73,1,73
"anywhere",1,74,0,73,1,73
"both",1,74,0,74,0,74
"certain",1,74,0,74,0,74
"each",1,74,0,74,0,74
"either",1,74,0,74,0,74
"enough",1,74,0,74,0,74
"every",1,74,0,74,0,74
"everybody",1,74,0,74,0,74
"everyone",1,74,0,74,0,74
"everything",1,74,0,74,0,74
"everywhere",1,74,0,74,0,74
"few",1,74,0,74,0,74
"fewer",1,74,0,74,0,74
"fewest",1,74,0,74,0,74
"little",1,74,0,74,0,74
"less",1,74,0,74,0,74
"least",1,74,0,74,0,74
"many",1,74,0,74,0,74
"many_a",1,74,0,74,0,74
"more",1,74,0,74,0,74
"most",1,74,0,74,0,74
"much",1,74,0,74,0,74
"neither",1,74,0,74,0,74
"last",1,74,0,71,3,71
"next",1,74,0,71,3,71
"no",1,74,0,74,0,74
"none",1,74,0,74,0,74
"nobody",1,74,0,74,0,74
"no_one",1,74,0,74,0,74
"nothing",1,74,0,74,0,74
"nowhere",1,74,0,74,0,74
"one_det",1,74,0,74,0,74
"two_det",1,74,0,74,0,74
"three_det",1,74,0,74,0,74
"once",1,74,0,73,1,73
"twice",1,74,0,73,1,73
"thrice",1,74,0,70,4,70
"several",1,74,0,74,0,74
"some",1,74,0,74,0,74
"somebody",1,74,0,74,0,74
"someone",1,74,0,74,0,74
"something",1,74,0,74,0,74
"somewhere",1,74,0,74,0,74
"somewhat",1,74,0,74,0,74
"such",1,74,0,74,0,74
"sufficient",1,74,0,74,0,74
"that",1,74,0,39,35,39
"these",1,74,0,39,35,39
"this",1,74,0,39,35,39
"those",1,74,0,39,35,39
"the",1,74,0,65,9,65
"us_det",1,74,0,54,20,54
"we_det",1,74,0,54,20,54
"you_det",1,74,0,54,20,54
"what_det",1,74,0,71,3,71
"whatever_det",1,74,0,71,3,71
"which_rel_det",1,74,0,71,3,71
"which_int_det",1,74,0,71,3,71
"whichever_rel_det",1,74,0,71,3,71
"whichever_int_det",1,74,0,71,3,71
"zero_det",1,74,0,74,0,74
"various_det",1,74,0,74,0,74
"each_other",2,74,0,49,25,25
"one_another",2,74,0,49,25,25
"he",2,74,0,41,33,33
"him",2,74,0,29,45,45
"himself",2,74,0,29,45,45
"his",2,74,0,27,47,47
"she",2,74,0,41,33,33
"her_acc",2,74,0,29,45,45
"her_dep",2,74,0,36,38,38
"hers",2,74,0,27,47,47
"herself",2,74,0,29,45,45
"it_plain",2,74,0,29,45,45
"it_dum",2,74,0,53,21,21
"its",2,74,0,27,47,47
"itself",2,74,0,29,45,45
"I",2,74,0,41,33,33
"me",2,74,0,29,45,45
"mine",2,74,0,27,47,47
"my",2,74,0,36,38,38
"myself",2,74,0,29,45,45
"one_pron",2,74,0,33,41,41
"one_s",2,74,0,27,47,47
"oneself",2,74,0,44,30,30
"their_sing",2,74,0,34,40,40
"theirs_sing",2,74,0,25,49,49
"their_plur",2,74,0,34,40,40
"theirs_plur",2,74,0,25,49,49
"them_sing",2,74,0,27,47,47
"them_plur",2,74,0,27,47,47
"themself",2,74,0,27,47,47
"themselves",2,74,0,27,47,47
"they_sing",2,74,0,38,36,36
"they_plur",2,74,0,38,36,36
"we_pron",2,74,0,41,33,33
"us_pron",2,74,0,29,45,45
"our",2,74,0,36,38,38
"ours",2,74,0,27,47,47
"ourselves",2,74,0,29,45,45
"what_pron",2,74,0,50,24,24
"whatever_pron",2,74,0,50,24,24
"which_rel_pron",2,74,0,50,24,24
"who_int",2,74,0,45,29,29
"who_rel",2,74,0,45,29,29
"whom_int",2,74,0,37,37,37
"whom_rel",2,74,0,45,29,29
"whose_int",2,74,0,37,37,37
"whose_rel",2,74,0,45,29,29
"whoever",2,74,0,45,29,29
"whoever_s",2,74,0,45,29,29
"whosever",2,74,0,45,29,29
"whosoever",2,74,0,45,29,29
"whosoever_s",2,74,0,45,29,29
"you_pron_sing",2,74,0,29,45,45
"you_pron_plur",2,74,0,29,45,45
"your_sing",2,74,0,36,38,38
"yours_sing",2,74,0,27,47,47
"your_plur",2,74,0,36,38,38
"yours_plur",2,74,0,27,47,47
"yourself",2,74,0,29,45,45
"yourselves",2,74,0,29,45,45
"today",2,74,0,33,41,41
"tomorrow",2,74,0,33,41,41
"tonight",2,74,0,33,41,41
"yesterday",2,74,0,33,41,41
"there",2,74,0,46,28,28
