"word","reference","specifications","excluded_orientation_ties","determinative_aligned_count","pronoun_aligned_count","agreement_count"
"a",1,22,0,22,0,22
"a_certain",1,22,0,22,0,22
"a_few",1,22,0,22,0,22
"a_great_many",1,22,0,22,0,22
"a_little",1,22,0,22,0,22
"all",1,22,0,22,0,22
"another",1,22,0,22,0,22
"any",1,22,0,22,0,22
"anybody",1,22,0,22,0,22
"anyone",1,22,0,22,0,22
"anything",1,22,0,22,0,22
"anywhere",1,22,0,22,0,22
"both",1,22,0,22,0,22
"certain",1,22,0,22,0,22
"each",1,22,0,22,0,22
"either",1,22,0,22,0,22
"enough",1,22,0,22,0,22
"every",1,22,0,22,0,22
"everybody",1,22,0,22,0,22
"everyone",1,22,0,22,0,22
"everything",1,22,0,22,0,22
"everywhere",1,22,0,22,0,22
"few",1,22,0,22,0,22
"fewer",1,22,0,22,0,22
"fewest",1,22,0,22,0,22
"little",1,22,0,22,0,22
"less",1,22,0,22,0,22
"least",1,22,0,22,0,22
"many",1,22,0,22,0,22
"many_a",1,22,0,22,0,22
"more",1,22,0,22,0,22
"most",1,22,0,22,0,22
"much",1,22,0,22,0,22
"neither",1,22,0,22,0,22
"last",1,22,0,21,1,21
"next",1,22,0,21,1,21
"no",1,22,0,22,0,22
"none",1,22,0,22,0,22
"nobody",1,22,0,22,0,22
"no_one",1,22,0,22,0,22
"nothing",1,22,0,22,0,22
"nowhere",1,22,0,22,0,22
"one_det",1,22,0,22,0,22
"two_det",1,22,0,22,0,22
"three_det",1,22,0,22,0,22
"once",1,22,0,22,0,22
"twice",1,22,0,22,0,22
"thrice",1,22,0,22,0,22
"several",1,22,0,22,0,22
"some",1,22,0,22,0,22
"somebody",1,22,0,22,0,22
"someone",1,22,0,22,0,22
"something",1,22,0,22,0,22
"somewhere",1,22,0,22,0,22
"somewhat",1,22,0,22,0,22
"such",1,22,0,22,0,22
"sufficient",1,22,0,22,0,22
"that",1,22,0,14,8,14
"these",1,22,0,14,8,14
"this",1,22,0,14,8,14
"those",1,22,0,14,8,14
"the",1,22,0,21,1,21
"us_det",1,22,0,7,15,7
"we_det",1,22,0,7,15,7
"you_det",1,22,0,18,4,18
"what_det",1,22,0,22,0,22
"whatever_det",1,22,0,22,0,22
"which_rel_det",1,22,0,21,1,21
"which_int_det",1,22,0,17,5,17
"whichever_rel_det",1,22,0,21,1,21
"whichever_int_det",1,22,0,22,0,22
"zero_det",1,22,0,22,0,22
"various_det",1,22,0,22,0,22
"each_other",2,22,0,18,4,4
"one_another",2,22,0,18,4,4
"he",2,22,0,5,17,17
"him",2,22,0,0,22,22
"himself",2,22,0,0,22,22
"his",2,22,0,0,22,22
"she",2,22,0,5,17,17
"her_acc",2,22,0,0,22,22
"her_dep",2,22,0,5,17,17
"hers",2,22,0,0,22,22
"herself",2,22,0,0,22,22
"it_plain",2,22,0,0,22,22
"it_dum",2,22,0,21,1,1
"its",2,22,0,0,22,22
"itself",2,22,0,0,22,22
"I",2,22,0,5,17,17
"me",2,22,0,0,22,22
"mine",2,22,0,0,22,22
"my",2,22,0,5,17,17
"myself",2,22,0,0,22,22
"one_pron",2,22,0,5,17,17
"one_s",2,22,0,0,22,22
"oneself",2,22,0,7,15,15
"their_sing",2,22,0,5,17,17
"theirs_sing",2,22,0,0,22,22
"their_plur",2,22,0,5,17,17
"theirs_plur",2,22,0,0,22,22
"them_sing",2,22,0,0,22,22
"them_plur",2,22,0,0,22,22
"themself",2,22,0,0,22,22
"themselves",2,22,0,0,22,22
"they_sing",2,22,0,5,17,17
"they_plur",2,22,0,5,17,17
"we_pron",2,22,0,5,17,17
"us_pron",2,22,0,0,22,22
"our",2,22,0,5,17,17
"ours",2,22,0,0,22,22
"ourselves",2,22,0,0,22,22
"what_pron",2,22,0,21,1,1
"whatever_pron",2,22,0,21,1,1
"which_rel_pron",2,22,0,21,1,1
"who_int",2,22,0,7,15,15
"who_rel",2,22,0,7,15,15
"whom_int",2,22,0,0,22,22
"whom_rel",2,22,0,7,15,15
"whose_int",2,22,0,0,22,22
"whose_rel",2,22,0,7,15,15
"whoever",2,22,0,7,15,15
"whoever_s",2,22,0,7,15,15
"whosever",2,22,0,7,15,15
"whosoever",2,22,0,7,15,15
"whosoever_s",2,22,0,7,15,15
"you_pron_sing",2,22,0,0,22,22
"you_pron_plur",2,22,0,0,22,22
"your_sing",2,22,0,5,17,17
"yours_sing",2,22,0,0,22,22
"your_plur",2,22,0,5,17,17
"yours_plur",2,22,0,0,22,22
"yourself",2,22,0,0,22,22
"yourselves",2,22,0,0,22,22
"today",2,22,0,11,11,11
"tomorrow",2,22,0,11,11,11
"tonight",2,22,0,11,11,11
"yesterday",2,22,0,11,11,11
"there",2,22,0,21,1,1
