lemma,function,category,count
1,Det,DP,1
10,Coordinate,DP,1
10,Flat,D,1
11,Det,DP,1
11780,Det,DP,1
12,Coordinate,DP,1
120,Flat,D,1
15,Det,DP,1
2.3,Det-Head,DP,1
20,Det-Head,DP,1
200,Det-Head,DP,1
200000,Det,DP,1
20000000,Mod,DP,1
2017,Det,DP,1
21,Det-Head,DP,1
22,Det-Head,DP,1
24,Det,DP,1
28,Det,DP,1
28,Det-Head,DP,1
30,Det-Head,DP,1
45,Det,DP,1
5,Det,DP,1
5,Det-Head,DP,1
53,Det-Head,DP,1
90,Det,DP,1
[deleted]:the,Det,DP,1
a,Det,DP,89
a,Mod,DP,1
a few,Det,DP,1
a few,Det-Head,DP,1
a little,Mod,DP,2
all,Det,DP,3
all,Det-Head,DP,5
all,Mod,DP,3
another,Det,DP,2
another,Det-Head,DP,1
any,Det,DP,7
any,Mod,DP,1
anybody,Det-Head,DP,1
anyone,Det-Head,DP,2
anything,Det-Head,DP,1
anywhere,Det-Head,DP,1
both,Det,DP,2
both,Det-Head,DP,1
both,Marker,DP,1
each,Det-Head,DP,1
each,Mod,DP,1
enough,Det,DP,2
enough,Det-Head,DP,1
enough,Mod,DP,3
every,Det,DP,3
everybody,Det-Head,DP,1
everyone,Det-Head,DP,1
everything,Det-Head,DP,2
least,Det-Head,DP,1
many,Det-Head,DP,1
many,Mod,DP,2
many a,Det,DP,1
million,Flat,D,2
more,Det,DP,2
more,Det-Head,DP,2
more,Mod,DP,1
most,Det,DP,1
much,Det-Head,DP,1
no,Det,DP,4
no,Mod,DP,1
no one,Det-Head,DP,1
none,Det-Head,DP,3
once,Det-Head,DP,1
one,Det,DP,3
one,Det-Head,DP,3
several,Det,DP,1
some,Det,DP,3
some,Det-Head,DP,2
someone,Det-Head,DP,3
something,Det-Head,DP,3
somewhere,Det-Head,DP,1
that,Det,DP,5
that,Det-Head,DP,7
the,Det,DP,129
this,Det,DP,21
this,Det-Head,DP,7
three,Mod,DP,1
two,Det,DP,5
two,Mod,DP,1
which,Det,DP,1
which,Det-Head,DP,1
