"variant","word","reference","cluster"
"public155","a",1,1
"public155","a_certain",1,1
"public155","a_few",1,1
"public155","a_great_many",1,1
"public155","a_little",1,1
"public155","all",1,1
"public155","another",1,1
"public155","any",1,1
"public155","anybody",1,1
"public155","anyone",1,1
"public155","anything",1,1
"public155","anywhere",1,1
"public155","both",1,1
"public155","certain",1,1
"public155","each",1,1
"public155","either",1,1
"public155","enough",1,1
"public155","every",1,1
"public155","everybody",1,1
"public155","everyone",1,1
"public155","everything",1,1
"public155","everywhere",1,1
"public155","few",1,1
"public155","fewer",1,1
"public155","fewest",1,1
"public155","little",1,1
"public155","less",1,1
"public155","least",1,1
"public155","many",1,1
"public155","many_a",1,1
"public155","more",1,1
"public155","most",1,1
"public155","much",1,1
"public155","neither",1,1
"public155","last",1,1
"public155","next",1,1
"public155","no",1,1
"public155","none",1,1
"public155","nobody",1,1
"public155","no_one",1,1
"public155","nothing",1,1
"public155","nowhere",1,1
"public155","one_det",1,1
"public155","two_det",1,1
"public155","three_det",1,1
"public155","once",1,1
"public155","twice",1,1
"public155","thrice",1,1
"public155","several",1,1
"public155","some",1,1
"public155","somebody",1,1
"public155","someone",1,1
"public155","something",1,1
"public155","somewhere",1,1
"public155","somewhat",1,1
"public155","such",1,1
"public155","sufficient",1,1
"public155","that",1,1
"public155","these",1,1
"public155","this",1,1
"public155","those",1,1
"public155","the",1,1
"public155","us_det",1,2
"public155","we_det",1,2
"public155","you_det",1,1
"public155","what_det",1,1
"public155","whatever_det",1,1
"public155","which_rel_det",1,1
"public155","which_int_det",1,1
"public155","whichever_rel_det",1,1
"public155","whichever_int_det",1,1
"public155","zero_det",1,1
"public155","various_det",1,1
"public155","each_other",2,1
"public155","one_another",2,1
"public155","he",2,2
"public155","him",2,2
"public155","himself",2,2
"public155","his",2,2
"public155","she",2,2
"public155","her_acc",2,2
"public155","her_dep",2,2
"public155","hers",2,2
"public155","herself",2,2
"public155","it_plain",2,2
"public155","it_dum",2,1
"public155","its",2,2
"public155","itself",2,2
"public155","I",2,2
"public155","me",2,2
"public155","mine",2,2
"public155","my",2,2
"public155","myself",2,2
"public155","one_pron",2,2
"public155","one_s",2,2
"public155","oneself",2,2
"public155","their_sing",2,2
"public155","theirs_sing",2,2
"public155","their_plur",2,2
"public155","theirs_plur",2,2
"public155","them_sing",2,2
"public155","them_plur",2,2
"public155","themself",2,2
"public155","themselves",2,2
"public155","they_sing",2,2
"public155","they_plur",2,2
"public155","we_pron",2,2
"public155","us_pron",2,2
"public155","our",2,2
"public155","ours",2,2
"public155","ourselves",2,2
"public155","what_pron",2,1
"public155","whatever_pron",2,1
"public155","which_rel_pron",2,1
"public155","who_int",2,2
"public155","who_rel",2,2
"public155","whom_int",2,2
"public155","whom_rel",2,2
"public155","whose_int",2,2
"public155","whose_rel",2,2
"public155","whoever",2,2
"public155","whoever_s",2,2
"public155","whosever",2,2
"public155","whosoever",2,2
"public155","whosoever_s",2,2
"public155","you_pron_sing",2,2
"public155","you_pron_plur",2,2
"public155","your_sing",2,2
"public155","yours_sing",2,2
"public155","your_plur",2,2
"public155","yours_plur",2,2
"public155","yourself",2,2
"public155","yourselves",2,2
"public155","today",2,1
"public155","tomorrow",2,1
"public155","tonight",2,1
"public155","yesterday",2,1
"public155","there",2,1
"appendix154","a",1,1
"appendix154","a_certain",1,1
"appendix154","a_few",1,1
"appendix154","a_great_many",1,1
"appendix154","a_little",1,1
"appendix154","all",1,1
"appendix154","another",1,1
"appendix154","any",1,1
"appendix154","anybody",1,1
"appendix154","anyone",1,1
"appendix154","anything",1,1
"appendix154","anywhere",1,1
"appendix154","both",1,1
"appendix154","certain",1,1
"appendix154","each",1,1
"appendix154","either",1,1
"appendix154","enough",1,1
"appendix154","every",1,1
"appendix154","everybody",1,1
"appendix154","everyone",1,1
"appendix154","everything",1,1
"appendix154","everywhere",1,1
"appendix154","few",1,1
"appendix154","fewer",1,1
"appendix154","fewest",1,1
"appendix154","little",1,1
"appendix154","less",1,1
"appendix154","least",1,1
"appendix154","many",1,1
"appendix154","many_a",1,1
"appendix154","more",1,1
"appendix154","most",1,1
"appendix154","much",1,1
"appendix154","neither",1,1
"appendix154","last",1,1
"appendix154","next",1,1
"appendix154","no",1,1
"appendix154","none",1,1
"appendix154","nobody",1,1
"appendix154","no_one",1,1
"appendix154","nothing",1,1
"appendix154","nowhere",1,1
"appendix154","one_det",1,1
"appendix154","two_det",1,1
"appendix154","three_det",1,1
"appendix154","once",1,1
"appendix154","twice",1,1
"appendix154","thrice",1,1
"appendix154","several",1,1
"appendix154","some",1,1
"appendix154","somebody",1,1
"appendix154","someone",1,1
"appendix154","something",1,1
"appendix154","somewhere",1,1
"appendix154","somewhat",1,1
"appendix154","such",1,1
"appendix154","sufficient",1,1
"appendix154","that",1,1
"appendix154","these",1,1
"appendix154","this",1,1
"appendix154","those",1,1
"appendix154","the",1,1
"appendix154","us_det",1,2
"appendix154","we_det",1,2
"appendix154","you_det",1,1
"appendix154","what_det",1,1
"appendix154","whatever_det",1,1
"appendix154","which_rel_det",1,1
"appendix154","which_int_det",1,1
"appendix154","whichever_rel_det",1,1
"appendix154","whichever_int_det",1,1
"appendix154","zero_det",1,1
"appendix154","various_det",1,1
"appendix154","each_other",2,1
"appendix154","one_another",2,1
"appendix154","he",2,2
"appendix154","him",2,2
"appendix154","himself",2,2
"appendix154","his",2,2
"appendix154","she",2,2
"appendix154","her_acc",2,2
"appendix154","her_dep",2,2
"appendix154","hers",2,2
"appendix154","herself",2,2
"appendix154","it_plain",2,2
"appendix154","it_dum",2,1
"appendix154","its",2,2
"appendix154","itself",2,2
"appendix154","I",2,2
"appendix154","me",2,2
"appendix154","mine",2,2
"appendix154","my",2,2
"appendix154","myself",2,2
"appendix154","one_pron",2,2
"appendix154","one_s",2,2
"appendix154","oneself",2,2
"appendix154","their_sing",2,2
"appendix154","theirs_sing",2,2
"appendix154","their_plur",2,2
"appendix154","theirs_plur",2,2
"appendix154","them_sing",2,2
"appendix154","them_plur",2,2
"appendix154","themself",2,2
"appendix154","themselves",2,2
"appendix154","they_sing",2,2
"appendix154","they_plur",2,2
"appendix154","we_pron",2,2
"appendix154","us_pron",2,2
"appendix154","our",2,2
"appendix154","ours",2,2
"appendix154","ourselves",2,2
"appendix154","what_pron",2,1
"appendix154","whatever_pron",2,1
"appendix154","which_rel_pron",2,1
"appendix154","who_int",2,2
"appendix154","who_rel",2,2
"appendix154","whom_int",2,2
"appendix154","whom_rel",2,2
"appendix154","whose_int",2,2
"appendix154","whose_rel",2,2
"appendix154","whoever",2,2
"appendix154","whoever_s",2,2
"appendix154","whosever",2,2
"appendix154","whosoever",2,2
"appendix154","whosoever_s",2,2
"appendix154","you_pron_sing",2,2
"appendix154","you_pron_plur",2,2
"appendix154","your_sing",2,2
"appendix154","yours_sing",2,2
"appendix154","your_plur",2,2
"appendix154","yours_plur",2,2
"appendix154","yourself",2,2
"appendix154","yourselves",2,2
"appendix154","today",2,1
"appendix154","tomorrow",2,1
"appendix154","tonight",2,1
"appendix154","yesterday",2,1
"appendix154","there",2,1
"working232","a",1,1
"working232","a_certain",1,1
"working232","a_few",1,1
"working232","a_great_many",1,1
"working232","a_little",1,1
"working232","all",1,1
"working232","another",1,1
"working232","any",1,1
"working232","anybody",1,1
"working232","anyone",1,1
"working232","anything",1,1
"working232","anywhere",1,1
"working232","both",1,1
"working232","certain",1,1
"working232","each",1,1
"working232","either",1,1
"working232","enough",1,1
"working232","every",1,1
"working232","everybody",1,1
"working232","everyone",1,1
"working232","everything",1,1
"working232","everywhere",1,1
"working232","few",1,1
"working232","fewer",1,1
"working232","fewest",1,1
"working232","little",1,1
"working232","less",1,1
"working232","least",1,1
"working232","many",1,1
"working232","many_a",1,1
"working232","more",1,1
"working232","most",1,1
"working232","much",1,1
"working232","neither",1,1
"working232","last",1,1
"working232","next",1,1
"working232","no",1,1
"working232","none",1,1
"working232","nobody",1,1
"working232","no_one",1,1
"working232","nothing",1,1
"working232","nowhere",1,1
"working232","one_det",1,1
"working232","two_det",1,1
"working232","three_det",1,1
"working232","once",1,1
"working232","twice",1,1
"working232","thrice",1,1
"working232","several",1,1
"working232","some",1,1
"working232","somebody",1,1
"working232","someone",1,1
"working232","something",1,1
