"variant","features","seed","matched","total","objective","iterations"
"public155",155,1,115,138,356.605511866348,3
"public155",155,2,132,138,354.57214653969,3
"public155",155,3,131,138,354.505346659994,5
"public155",155,4,131,138,354.505346659994,4
"public155",155,5,128,138,354.655147185894,4
"public155",155,6,125,138,354.973993227219,4
"public155",155,7,130,138,354.495920040491,4
"public155",155,8,130,138,354.495920040492,3
"public155",155,9,121,138,354.785144072684,3
"public155",155,10,130,138,354.495920040491,3
"public155",155,11,126,138,354.834280404031,3
"public155",155,12,132,138,354.57214653969,4
"public155",155,13,132,138,354.57214653969,5
"public155",155,14,126,138,354.5673422335,3
"public155",155,15,90,138,368.770955334808,5
"public155",155,16,125,138,354.97399322722,3
"public155",155,17,125,138,354.462265327234,3
"public155",155,18,128,138,354.52392423061,3
"public155",155,19,130,138,354.495920040491,3
"public155",155,20,127,138,354.867330927338,3
"public155",155,21,132,138,354.57214653969,5
"public155",155,22,109,138,356.420253956271,4
"public155",155,23,132,138,354.57214653969,5
"public155",155,24,129,138,354.5224558032,4
"public155",155,25,131,138,354.505346659994,4
"public155",155,26,122,138,354.723028809927,4
"public155",155,27,125,138,354.97399322722,3
"public155",155,28,128,138,354.652757552457,3
"public155",155,29,109,138,356.420253956271,4
"public155",155,30,132,138,354.57214653969,4
"public155",155,31,111,138,356.669737281627,6
"public155",155,32,125,138,354.949304729516,3
"public155",155,33,124,138,354.784330045057,3
"public155",155,34,129,138,354.674121476138,3
"public155",155,35,132,138,354.572146539691,5
"public155",155,36,124,138,354.944230894686,3
"public155",155,37,122,138,354.723028809927,4
"public155",155,38,128,138,354.52392423061,3
"public155",155,39,127,138,354.867330927338,4
"public155",155,40,130,138,354.495920040491,4
"public155",155,41,125,138,354.973993227219,3
"public155",155,42,121,138,354.785144072684,3
"public155",155,43,128,138,354.52392423061,4
"public155",155,44,121,138,354.785144072685,4
"public155",155,45,127,138,354.867330927338,4
"public155",155,46,125,138,354.973993227219,3
"public155",155,47,131,138,354.505346659993,5
"public155",155,48,127,138,354.867330927337,3
"public155",155,49,132,138,354.572146539691,3
"public155",155,50,127,138,354.88393444105,3
"public155",155,51,127,138,354.867330927338,3
"public155",155,52,129,138,354.545615261293,3
"public155",155,53,131,138,354.505346659994,5
"public155",155,54,129,138,354.545615261293,3
"public155",155,55,128,138,354.606818048814,3
"public155",155,56,128,138,354.655147185895,3
"public155",155,57,124,138,354.944230894686,3
"public155",155,58,121,138,354.785144072684,4
"public155",155,59,132,138,354.57214653969,4
"public155",155,60,125,138,354.97399322722,4
"public155",155,61,115,138,356.206425300316,3
"public155",155,62,124,138,354.784330045057,3
"public155",155,63,128,138,354.655147185894,4
"public155",155,64,128,138,354.523924230611,4
"public155",155,65,131,138,354.505346659994,4
"public155",155,66,120,138,356.38131487004,5
"public155",155,67,124,138,354.46275688158,3
"public155",155,68,120,138,356.381314870041,5
"public155",155,69,123,138,354.523156658496,3
"public155",155,70,132,138,354.57214653969,5
"public155",155,71,129,138,354.674121476138,4
"public155",155,72,131,138,354.552810509314,3
"public155",155,73,131,138,354.505346659994,2
"public155",155,74,124,138,354.46275688158,2
"public155",155,75,132,138,354.572146539691,5
"public155",155,76,129,138,354.545615261293,3
"public155",155,77,128,138,354.655147185894,3
"public155",155,78,128,138,354.52392423061,4
"public155",155,79,131,138,354.505346659994,6
"public155",155,80,132,138,354.57214653969,5
"public155",155,81,129,138,354.5224558032,3
"public155",155,82,126,138,354.886444467416,3
"public155",155,83,131,138,354.505346659994,4
"public155",155,84,124,138,354.514473173926,3
"public155",155,85,131,138,354.505346659994,4
"public155",155,86,125,138,354.973993227219,4
"public155",155,87,132,138,354.572146539691,4
"public155",155,88,131,138,354.552810509315,3
"public155",155,89,129,138,354.674121476138,3
"public155",155,90,132,138,354.57214653969,5
"public155",155,91,132,138,354.572146539691,7
"public155",155,92,75,138,370.286911024774,3
"public155",155,93,107,138,356.664395632585,3
"public155",155,94,121,138,354.785144072685,4
"public155",155,95,130,138,354.495920040491,3
"public155",155,96,126,138,354.717453270489,3
"public155",155,97,131,138,354.505346659994,3
"public155",155,98,124,138,354.514473173926,3
"public155",155,99,125,138,354.973993227219,3
"public155",155,100,131,138,354.505346659994,5
"appendix154",154,1,115,138,355.909464549417,3
"appendix154",154,2,132,138,353.855681788094,3
"appendix154",154,3,132,138,353.855681788095,5
"appendix154",154,4,131,138,353.788411329525,4
"appendix154",154,5,128,138,353.939057016769,4
"appendix154",154,6,125,138,354.277489210046,4
"appendix154",154,7,130,138,353.779257865159,4
"appendix154",154,8,130,138,353.779257865159,3
