feature,positive_word_forms
a_certain,1
a_few,1
a_great_many,1
a_little,1
all,1
anybody,1
anyone,1
anything,1
anywhere,1
both,1
enough,1
everybody,1
everyone,1
everything,1
everywhere,1
fewer,1
fewest,1
he,1
hers,1
herself,1
himself,1
his,1
I,1
itself,1
last,1
least,1
less,1
me,1
mine,1
more,1
most,1
much,1
myself,1
neither,1
next,1
nobody,1
none,1
nothing,1
nowhere,1
once,1
one_another,1
oneself,1
ourselves,1
several,1
she,1
somebody,1
someone,1
something,1
somewhat,1
somewhere,1
such,1
sufficient,1
that,1
the,1
themself,1
themselves,1
there,1
these,1
this,1
those,1
three,1
thrice,1
today,1
tomorrow,1
tonight,1
twice,1
two,1
various,1
whoever_s,1
whosesoever,0
whosever,1
whosoever_s,1
yesterday,1
yourself,1
yourselves,1
zero,1
function_as_post_head_modifier_of_Adj,1
